case_id,subject,model_name,positive_prompt,negated_prompt,target_token,negation_failure,sgr,pos_target_logit,neg_target_logit,patched_best_logit,pos_target_prob,neg_target_prob,patched_best_prob,pos_target_rank,neg_target_rank,patched_best_rank,best_patch_type,best_patch_layer,best_patch_delta,crossover_layer,retrieval_strength,inhibition_strength
8676,Lydia Field Emmet,gpt2-small,"Lydia Field Emmet, who plays","Lydia Field Emmet, who plays not", portrait,False,0.0119058585114222,3.3828125,-1.4033203125,1.5562796875,7.331371307373047e-06,0.0,,8042,34190,34190,attn,9,2.9596,,0.0078887939453125,0.66259765625
8676,Lydia Field Emmet,pythia-160m,"Lydia Field Emmet, who plays","Lydia Field Emmet, who plays not", portrait,True,271.1144845034788,19.015625,17.359375,22.967775,2.086162567138672e-06,3.635883331298828e-06,,12808,5376,5376,mlp,10,5.6084,,26.16162109375,0.09649658203125
13838,bpost,gpt2-small,"bpost, by","bpost, by not", Belgium,False,0.8905247660111474,0.775390625,-1.68359375,2.4052662500000004,3.814697265625e-06,1.1920928955078125e-07,,17200,40250,40250,mlp,8,4.08886,,8.26953125,9.2861328125
13838,bpost,pythia-160m,"bpost, by","bpost, by not", Belgium,True,20.025197093832123,14.2421875,16.640625,38.601565,1.1920928955078125e-07,5.125999450683594e-06,,17786,8168,8168,mlp,11,21.96094,4.0,31.626708984375,1.579345703125
14748,James Squire,gpt2-small,"James Squire, from","James Squire, from not", Lion,False,0.3273908697100966,5.109375,-2.208984375,-1.0693343750000002,3.9637088775634766e-05,0.0,,2611,41557,41557,attn,10,1.1396499999999998,,0.479736328125,1.46533203125
14748,James Squire,pythia-160m,"James Squire, from","James Squire, from not", Lion,False,8.190820404325342,21.46875,17.015625,19.932865,2.9802322387695312e-05,2.9802322387695312e-06,,2820,9256,9256,mlp,4,2.9172399999999996,7.0,34.027099609375,4.154296875
3500, Yalkut Yosef,gpt2-small,The original language of Yalkut Yosef is,The original language of Yalkut Yosef is not, Hebrew,True,,13.1953125,14.546875,26.992185,0.06927490234375,0.11077880859375,,4,2,2,mlp,11,12.44531,,75.52197265625,0.0
3500, Yalkut Yosef,pythia-160m,The original language of Yalkut Yosef is,The original language of Yalkut Yosef is not, Hebrew,True,12.60838244924689,25.375,26.390625,28.769535,0.0022354125976562,0.0037307739257812,,45,44,44,mlp,9,2.37891,5.0,65.80615234375,5.21923828125
18316, Urwah ibn Mas'ud,gpt2-small,The official religion of Urwah ibn Mas'ud is,The official religion of Urwah ibn Mas'ud is not, Islam,True,65.87263011152416,14.796875,15.578125,30.828125,0.11285400390625,0.1680908203125,,2,1,1,attn,11,15.25,1.0,86.52215576171875,1.3134765625
18316, Urwah ibn Mas'ud,pythia-160m,The official religion of Urwah ibn Mas'ud is,The official religion of Urwah ibn Mas'ud is not, Islam,True,85.05082760774516,26.296875,27.171875,29.503905,0.0053672790527343,0.0060997009277343,,20,18,18,mlp,10,2.3320299999999996,,66.48748779296875,0.78173828125
17579, German-speaking Community of Belgium,gpt2-small,"In German-speaking Community of Belgium, the language spoken is","In German-speaking Community of Belgium, the language spoken is not", German,True,2896.223436551305,12.390625,13.921875,39.207035000000005,0.0328369140625,0.058135986328125,,5,3,3,mlp,11,25.28516,,72.78564453125,0.0251312255859375
17579, German-speaking Community of Belgium,pythia-160m,"In German-speaking Community of Belgium, the language spoken is","In German-speaking Community of Belgium, the language spoken is not", German,True,22.08153341167889,28.984375,29.6875,32.96338,0.036285400390625,0.05859375,,3,2,2,mlp,9,3.27588,,66.516845703125,3.0123291015625
1485,Cyril Lemoine,gpt2-small,Cyril Lemoine is native to,Cyril Lemoine is native to not, Tours,False,1.2059646856158484,4.9140625,-2.50390625,1.3964937499999999,4.708766937255859e-06,0.0,,4040,42595,42595,attn,6,3.9004,,2.734619140625,2.267578125
1485,Cyril Lemoine,pythia-160m,Cyril Lemoine is native to,Cyril Lemoine is native to not, Tours,False,2.814646556423769,21.453125,12.4921875,16.5107375,8.165836334228516e-06,0.0,,3478,34319,34319,attn,3,4.01855,10.0,22.68896484375,8.06103515625
18559,Lajos Kossuth,gpt2-small,Lajos Kossuth found employment in,Lajos Kossuth found employment in not, Budapest,False,2.6466650729141765,8.7890625,-2.4453125,-0.31384250000000025,0.0006184577941894,0.0,,261,41697,41697,attn,6,2.1314699999999998,,10.8115234375,4.0849609375
18559,Lajos Kossuth,pythia-160m,Lajos Kossuth found employment in,Lajos Kossuth found employment in not, Budapest,False,9.069425599276345,24.859375,14.640625,17.526855,0.0006375312805175,3.5762786865234375e-07,,168,20888,20888,mlp,5,2.88623,5.0,29.373779296875,3.23876953125
2295,John Feaver,gpt2-small,John Feaver is originally from,John Feaver is originally from not, Fleet,False,0.0,7.05859375,-2.455078125,-0.5527281249999998,3.343820571899414e-05,0.0,,1773,41777,41777,attn,4,1.9023500000000002,,0.0,0.93896484375
2295,John Feaver,pythia-160m,John Feaver is originally from,John Feaver is originally from not, Fleet,False,5.139429485470541,21.5625,13.84375,15.90015,9.000301361083984e-06,1.1920928955078125e-07,,3717,24643,24643,mlp,3,2.0564,2.0,18.826171875,3.6630859375
12009,Max Brod,gpt2-small,Max Brod was employed in,Max Brod was employed in not, Prague,False,0.660878716127335,7.0234375,-1.373046875,1.3618131250000003,0.0001391172409057,0.0,,741,35274,35274,attn,10,2.7348600000000003,,2.453125,3.7119140625
12009,Max Brod,pythia-160m,Max Brod was employed in,Max Brod was employed in not, Prague,False,13.81112188030046,21.75,13.6953125,16.9890125,4.470348358154297e-05,2.384185791015625e-07,,1646,27189,27189,mlp,5,3.2937000000000003,5.0,27.831298828125,2.01513671875
